;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"300,28647422943675";"250,581019052861";"299,81901417169576";"299,61172333370587";"299,91308850562507";"251,98313391670382";"301,07951108590373";"299,3788741841753";"298,9110924951572";"251,3251557701907"
"WorstSolution";"150,16174328620917";"148,47229272835642";"148,59288723420505";"149,0532754239308";"149,84220813291606";"148,78564780323345";"148,11624872317833";"150,24220705818803";"149,72802631966164";"148,11624872317833"
"Average";"232,26673182149634";"214,72656504833472";"224,81254785917707";"219,9745536700938";"209,81748513597077";"221,96671362395688";"224,9269675983739";"224,6714051536656";"222,47495893173513";"212,456065840495"
"StandardDeviation";"36,17779541906511";"35,434115958683044";"43,21244393020918";"40,04669265235757";"40,29221616009662";"29,669909969071465";"43,388413302819636";"36,62300202545543";"39,73121139942973";"31,28015690015953"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"300,00128202969";"299,34614701721046";"299,23943971446124";"299,16839301128744";"252,05133748584402";"300,2313089520935";"300,2452566277381";"299,5257430883997";"299,0648863718149";"300,22843599202804"
"WorstSolution";"150,08318404038147";"150,24220705818803";"149,44244904205783";"150,19766370976754";"149,61354665027557";"150,29803545634022";"198,47213016241997";"149,97350843801215";"149,30606664189384";"149,14780664487407"
"Average";"227,26553579401352";"232,29153009170574";"229,89508601476123";"217,1956497880159";"214,76405003200892";"219,92128668169795";"222,5554117746889";"219,67104818563735";"227,16097082590142";"222,4355245407447"
"StandardDeviation";"36,857863465538536";"39,510653435082006";"32,88567109112864";"45,11134781675038";"38,827165594681084";"39,88121698718093";"36,58633389431236";"36,678914213318336";"39,90035729858575";"40,20824447765563"
